chr	start	end	region	stat	pvalue	bins	adj_pvalue
chr1	223195000	223380000	chr1:223195000-223380000				0.7780347129539276
chr1	111225000	111395000	chr1:111225000-111395000				0.7780347129539276
chr1	243345000	243845000	chr1:243345000-243845000			50.0	0.7780347129539276
chr1	198770000	198930000	chr1:198770000-198930000	0.9998739092060396	0.0485855544042951	16.0	0.43951443961786235
chr1	157195000	157360000	chr1:157195000-157360000	-0.00846103847521	0.1696268456259768	17.0	0.7780347129539276
chr1	156455000	156570000	chr1:156455000-156570000	-0.9936384442749188	0.4142651198681021	12.0	0.7780347129539276
chr1	7975000	8090000	chr1:7975000-8090000	-1.8943337673034315	0.6952881411655335	12.0	0.8238539478585473
chr1	240190000	240600000	chr1:240190000-240600000	-1.1949712436479407	0.4766860680009233	41.0	0.7853554552998594
chr1	176080000	176205000	chr1:176080000-176205000	-0.4230883102113411	0.2574062021387652	12.0	0.7780347129539276
chr1	61855000	62065000	chr1:61855000-62065000	-0.6147272254315246	0.3059141173451004	21.0	0.7780347129539276
chr1	227565000	227720000	chr1:227565000-227720000				0.7780347129539276
chr1	175150000	175315000	chr1:175150000-175315000	-1.6990868823361778	0.6363495725401391	16.0	0.8138763146830027
chr1	61855000	62130000	chr1:61855000-62130000			28.0	0.7780347129539276
chr1	225775000	225875000	chr1:225775000-225875000	-1.3381602110130957	0.5221392695138651	10.0	0.7946550227812904
chr1	35935000	36085000	chr1:35935000-36085000	-1.2129605998371713	0.4823634307924461	15.0	0.7862427330505675
chr1	52695000	52835000	chr1:52695000-52835000	-2.063292865170675	0.7432183676359195	14.0	0.8377496837307268
chr1	28885000	29030000	chr1:28885000-29030000	0.7136839526823948	0.0715778819353377	15.0	0.5696649700954881
chr1	220530000	220670000	chr1:220530000-220670000	-0.8125196136112127	0.3606582307404423	14.0	0.7780347129539276
chr1	32205000	32325000	chr1:32205000-32325000	-1.790055733887346	0.6642038694270254	12.0	0.8182002675923097
chr1	244455000	244595000	chr1:244455000-244595000	-1.832314776038302	0.6769206382980981	14.0	0.8196322754462667
chr1	100540000	100865000	chr1:100540000-100865000	0.8317449027360005	0.0611901008140353	32.0	0.5146342918955649
chr1	232530000	232625000	chr1:232530000-232625000				0.7780347129539276
chr1	32205000	32390000	chr1:32205000-32390000	-1.699775820105264	0.6365626655456686	19.0	0.8138763146830027
chr1	46735000	46870000	chr1:46735000-46870000	-1.162881871074524	0.4665904158935894	14.0	0.7852136342524845
chr1	216780000	218160000	chr1:216780000-218160000	-1.0049647715808443	0.4177089144233372	138.0	0.7780347129539276
chr1	56405000	56575000	chr1:56405000-56575000	-1.0726161427054628	0.4384642581044772	17.0	0.7780347129539276
chr1	65065000	65210000	chr1:65065000-65210000	-2.015510016253633	0.7300061986756565	15.0	0.8336263919763056
chr1	94065000	94235000	chr1:94065000-94235000	-1.014651747099177	0.4206614057706048	17.0	0.7780347129539276
chr1	184805000	184895000	chr1:184805000-184895000				0.7780347129539276
chr1	183805000	183910000	chr1:183805000-183910000	-0.0807196243385392	0.1831866241725599	11.0	0.7780347129539276
chr1	75265000	75630000	chr1:75265000-75630000	-1.6982473902665065	0.6360898743128865	37.0	0.8137917306421356
chr1	198465000	198680000	chr1:198465000-198680000	-1.470094503057538	0.5642371083149345	22.0	0.8047118895120885
chr1	44215000	44320000	chr1:44215000-44320000	-2.027718351388801	0.7334090948412498	11.0	0.8344950375377759
chr1	64505000	64670000	chr1:64505000-64670000	-0.0736088307037531	0.1818199136870405	17.0	0.7780347129539276
chr1	111505000	111700000	chr1:111505000-111700000	-0.3502301596584927	0.2402430655514047	20.0	0.7780347129539276
chr1	48880000	50065000	chr1:48880000-50065000			118.0	0.7780347129539276
chr1	48880000	50330000	chr1:48880000-50330000	2.354431591572105	0.0056425001337221	145.0	0.06922349703030735
chr1	110625000	110780000	chr1:110625000-110780000	0.3483334953118113	0.113114000827931	16.0	0.7394088950949521
chr1	61240000	61335000	chr1:61240000-61335000				0.7780347129539276
chr1	26695000	26785000	chr1:26695000-26785000				0.7780347129539276
chr1	111770000	112365000	chr1:111770000-112365000	0.47279927462278	0.0972476508814659	59.0	0.6875925692276015
chr1	113815000	113965000	chr1:113815000-113965000	-0.7894072124154313	0.3540399110360309	15.0	0.7780347129539276
chr1	111505000	111765000	chr1:111505000-111765000	-1.0740714516813463	0.4389140901541271	26.0	0.7780347129539276
chr1	35450000	35550000	chr1:35450000-35550000	-1.5417700192569297	0.5870189565725307	10.0	0.8083938133605155
chr1	88995000	89370000	chr1:88995000-89370000	-1.752802282585815	0.6528708280110191	38.0	0.8176937576535941
chr1	207085000	207240000	chr1:207085000-207240000	-1.3956614353310517	0.5404907185746711	16.0	0.7992899761709233
chr1	39415000	39570000	chr1:39415000-39570000	-0.8302856559259449	0.3657826435820708	16.0	0.7780347129539276
chr1	192810000	193040000	chr1:192810000-193040000	-0.6530728689365596	0.3161767116673198	23.0	0.7780347129539276
chr1	224930000	225305000	chr1:224930000-225305000	-1.5978609067923015	0.6047387831375465	37.0	0.8092263393203508
chr1	174750000	174995000	chr1:174750000-174995000	-1.2418969569166936	0.4915201324430436	24.0	0.789751840035752
chr1	6345000	6695000	chr1:6345000-6695000			35.0	0.7780347129539276
chr1	27100000	27285000	chr1:27100000-27285000	-2.1224219313589905	0.7591575995737542	18.0	0.8432139809790897
chr1	149960000	150060000	chr1:149960000-150060000	-1.595061489881471	0.6038574649632431	10.0	0.8092263393203508
chr1	204565000	204805000	chr1:204565000-204805000	-0.5376319944642945	0.2858292792327965	24.0	0.7780347129539276
chr1	175030000	175145000	chr1:175030000-175145000	-1.9375311999667963	0.7078520294217374	11.0	0.8269562287865563
chr1	67855000	68060000	chr1:67855000-68060000	-1.39027674246357	0.5387713555175571	21.0	0.7989307850119283
chr1	152870000	153185000	chr1:152870000-153185000	-1.4569205206557558	0.5600380569863783	31.0	0.8042161209278653
chr1	108645000	108745000	chr1:108645000-108745000	-0.1818021163157571	0.2033878811270616	10.0	0.7780347129539276
chr1	241895000	242015000	chr1:241895000-242015000	0.1987172285811133	0.1347499453371361	12.0	0.7780347129539276
chr1	45390000	45485000	chr1:45390000-45485000				0.7780347129539276
chr1	25895000	25995000	chr1:25895000-25995000	-1.1416122983623458	0.4599244218781427	10.0	0.783365752831224
chr1	31435000	31540000	chr1:31435000-31540000	-1.5491388830577295	0.5893533095869793	11.0	0.8089106018934564
chr1	68120000	68230000	chr1:68120000-68230000	-1.6238443718840208	0.6129042903368662	11.0	0.8105060932900651
chr1	68120000	68285000	chr1:68120000-68285000	-1.5385678871055353	0.5860040619510908	16.0	0.8078696735140675
chr1	67525000	67680000	chr1:67525000-67680000	0.2538701103101312	0.1264379269631383	16.0	0.7780347129539276
chr1	169370000	169545000	chr1:169370000-169545000	-1.1966636075510886	0.477219726247831	17.0	0.7853554552998594
chr1	39095000	39185000	chr1:39095000-39185000				0.7780347129539276
chr1	41920000	42025000	chr1:41920000-42025000	-1.6454860000733729	0.6196795453213313	10.0	0.8112721899157187
chr1	219185000	219320000	chr1:219185000-219320000	-1.2851959887133615	0.5052686222770006	14.0	0.7928012889753787
chr1	76155000	77120000	chr1:76155000-77120000	-0.6528679403092429	0.3161214134473065	97.0	0.7780347129539276
chr1	150235000	150360000	chr1:150235000-150360000	-1.5899662997959592	0.6022523788872303	13.0	0.8092263393203508
chr1	212670000	212785000	chr1:212670000-212785000	-1.5294948271541593	0.5831267319893363	11.0	0.8076190742035677
chr1	227490000	227720000	chr1:227490000-227720000	-1.545607754535296	0.5882348920506792	23.0	0.8086226993569777
chr1	207700000	207800000	chr1:207700000-207800000	-0.0789510967660292	0.182846068594001	10.0	0.7780347129539276
chr1	208360000	208645000	chr1:208360000-208645000	0.7094819260971686	0.0719728042904106	28.0	0.5715648201814703
chr1	203030000	203215000	chr1:203030000-203215000	-0.5594410087199151	0.2914355203888353	18.0	0.7780347129539276
chr1	203030000	203265000	chr1:203030000-203265000	-1.0415044623150398	0.4288808857297882	23.0	0.7780347129539276
chr1	151740000	151835000	chr1:151740000-151835000				0.7780347129539276
chr1	112955000	113050000	chr1:112955000-113050000	-2.0801930198415786	0.7478213629381416	10.0	0.8386532555667439
